Name,Address,Latitude,Longitude,Phone number,Maintenance frequency,Last maintenance
"Plateau sportif de GrammontTerrain 9, 10, 11",avenue albert Einstein 34000 Montpellier,3.93392108647369,43.6136351580956,+33 4 67 64 87 70,Tous les ans,2019-05-15
MEDIATHEQUE JEAN-JACQUES ROUSSEAU,,,,,,
MEDIATHEQUE William SHAKESPEARE,,,,,,
MIBI,,,,,,
MAISON POUR TOUS LEO LAGRANGE,155 Rue de Bologne 34172 Montpellier,,,+33 4 67 40 33 57,Tous les ans,2020-10-06
Piscine M. SPILLIAERT,154 rue C.Desmoulins Montpellier,3.84314264933544,43.5982457955311,+33 4 67 42 00 92,,
Hôtel de Ville,1 place Georges Frêche 34267 Montpellier,3.8965223400675,43.5987299511122,+33 4 67 34 70 00,Tous les ans,2019-05-15
Centre municipal Garosud,3490 avenue Etienne Méhul 34070 Montpellier,3.85859224065433,43.5725732270947,+33 4 67 34 74 62,Tous les ans,2019-11-07
MOCO,,,,,,
Le Petit Prince de Boutonnet,20 Rue Emile Littré 34090 Montpellier,,,+33 4 67 72 13 12,Tous les ans,2020-11-06
EHPAD Pierre LAROQUE,830 rue de Salaison 34000 Montpellier,,,+33 4 67 16 67 00,,
BELEM,,,,,,
EHPAD Françoise GAUFFIER,135 Zac Ovalie rue André Puig Aubert 34000 Montpellier,,,+33 4 99 54 96 70,,
Crèche Edelweiss,21 rue Général Riu 34000 Montpellier,,,+33 4 67 64 08 11,Tous les ans,2020-11-05
Crèche Robin des bois,280 boulevard Pénélope 34000 Montpellier,,,+33 4 99 64 22 50,Tous les ans,2020-11-09
EHPAD Simone DEMANGEL,570 rue Rouget de L'Isle 34000 Montpellier,,,+33 4 67 42 80 33,,
Ecole maternelle Louis-Figuier - Ecole élémentaire Paul Bert- Victor Hugo,14 rue Farges 34000 Montpellier,3.8818749427812,43.6040988665753,+33 4 67 65 64 89,Tous les ans,2019-12-01
Crèche JOSEPHINE BAKER,164 avenue Jean Prat 34070 Montpellier,,,+33 4 99 54 53 50,Tous les ans,2020-11-10
"EHPAD ""Michel BELORGEOT""",41 impasse des Moulins 34000,,,+33 4 67 40 04 44,,
EHPAD Montpellieret,3 rue Fabre 34000,,,+33 4 67 66 14 98,,
Club La Cavalerie,28 rue de la Cavalerie 34000 Montpellier,,,+33 4 67 52 77 92,,
MEDIATHEQUE Victor HUGO,,,,,,
"EHPAD ""Mathilde LARTIGUE""",50 rue Louis Pergaud 34000 Montpellier,,,+33 4 67 75 25 70,,
MEDIATHEQUE GARCIA LLORCA,,,,,,
Crèche Antigone,10 rue Jeanne D'Arc 34000 Montpellier,,,+33 4 67 64 28 15,Tous les ans,2020-11-10
"Maison pour tous  
Mélina Mercouri",842 rue de la Vieille Poste 34000 Montpellier,3.90814703437764,43.6135606367422,+33 4 99 92 23 80,Tous les ans,2019-01-10
Cimetière Saint-Etienne,2 Rue Richard Wright 34000 Montpellier,3.93489103090574,43.6158729699952,+33 4 34 88 92 09,Tous les ans,2019-05-15
Cuisine Centrale,950 allée de la Martelle 34070 Montpellier,3.84157511981743,43.5994202550643,+33 4 67 15 92 69,Tous les ans,2019-10-07
Centre de Culture Contemporaine La Panacée,14 rue école de Pharmacie 34000 Montpellier,3.8782667806068,43.6125997375577,+33 4 34 88 79 79,Tous les ans,2019-10-07
Ancien Hôtel de Ville (Poste de Police Municipale),1 place Françis Ponge 34000 Montpellier,3.88414277239073,43.6093009254496,+33 4 67 34 71 45,Tous les ans,2019-11-07
Centre de vaccination de la ville de montpellier,2 place Paul Bec 34000 Montpellier,3.88644613599591,43.608650752262,+33 4 67 02 26 63,Tous les ans,2019-11-07
DAE Extérieur rue syracuse,Rue Syracuse 34000,,,+33 4 67 34 70 26,,
Halte Garderie Mowgli,280 boulevard Pénélope 34000 Montpellier,,,+33 4 99 64 22 51,Tous les ans,2020-11-18
Crèche Henri SALVADOR,6 rue Boussinesq 34070 Montpellier,,,+33 4 30 00 98 79,Tous les ans,2020-11-13
Siège du CCAS (Banque d'Acceuil),125 place Thermidor 34000 Montpellier,,43.6020241317034,+33 4 99 52 77 53,,
Crèche Thérèse Sentis,655 av. Maréchel Leclerc 34070 Montpellier,,,+33 4 67 65 45 87,Tous les ans,2020-11-12
Club Laure Moulin,45 rue Frédéric Bazille 34000 Montpellier,,,+33 4 67 52 77 92,,
Club Aiguelongue,158 Rue Raoul Follereau 34000 Montpellier,,,+33 4 67 52 77 92,,
EHPAD Les Aubes,119 rue St André de Novigens 34000 Montpellier,,,+33 4 67 72 06 98,,
Club  Galzy,14 allée Clémenville 34 000 - Montpellier 34000 Montpellier,,,+33 4 67 52 77 92,,
Club Maillan,Rue Georges Brassens 34000 Montpellier,,,+33 4 67 52 77 92,,
PALAIS DES SPORTS R.BOUGNOL,1000 avenue du Val de Montferrand Montpellier,3.87431551914803,43.6380432875803,+33 4 67 52 76 14,,
Ecole maternelle Sergueï-Prokofiev - Ecole élémentaire Jean Zay,85 avenue Alphonse-Juin 34000 Montpellier,3.89809208181167,43.6188883739332,+33 4 67 02 66 35,Tous les ans,2019-12-01
Ecole élémentaire Germaine Richier,99 Avenue Jean Prat 34070 Montpellier,3.85284162357418,43.5904588270256,+33 4 67 99 25 90,Tous les ans,2019-12-01
Maison pour tous Marie Curie,13 allée Antonin Chauliac 34080 Montpellier,3.83067333287118,43.6128786344574,+33 4 67 75 10 34,Tous les ans,2019-11-01
Eglise Notre-Dame-des-Tables,43 Rue de L'Aiguillerie 34000 Montpellier,3.87957276977398,43.6120901983009,,Tous les ans,2019-12-01
chapelle de la résurrection - Theatre de la vista,170 Rue Joachim du Bellay 34070 Montpellier,3.8577379112732,43.6060649637651,+33 4 99 52 99 31,Tous les ans,2019-12-01
Halles Jacques Coeur,Boulevard D'Antigone 34000 Montpellier,3.88939149901486,43.6092379806075,+33 4 67 34 70 00,Tous les ans,2019-12-01
Ecole élémentaire Winston Churchill - Ecole maternelle Marceline Desbordes-Valmore,424-460 rue du Lavandin 34070 Montpellier,3.85476904201268,43.5995832643803,+33 4 67 42 54 64,Tous les ans,2019-12-01
Ecole maternelle Maria-Callas,843 rue de la Croix de Figuerolles 34070 Montpellier,3.84412603580079,43.6040816795899,+33 4 67 75 56 55,Tous les ans,2019-12-01
Ecole élémentaire Jean Mermoz -Ecole maternelle Vasco-de-Gama,196-156 rue de la Croix du Sud 34000 Montpellier,3.89205258481797,43.6141016426732,+33 4 67 65 04 66,Tous les ans,2019-12-01
Ecole élémentaire Benoite Groult,99 rue de Puech Villa 34000 Montpellier,3.83624344261754,43.6403091566517,+33 4 67 60 17 80,Tous les ans,2019-12-01
Ecole élémentaire Simon Bolivar,300 avenue de Barcelone 34080 Montpellier,3.81773091991616,43.62331360185,+33 4 67 75 34 69,Tous les ans,2019-12-01
Ecole élémentaire André Boulloche,123 rue de Lausanne 34080 Montpellier,3.81964149146731,43.6280064369903,+33 4 67 75 37 33,Tous les ans,2019-12-01
Ecole élémentaire Spinoza,110 rue Viollet-Le-Duc 34070 Montpellier,3.83715271208757,43.6083804643777,+33 4 67 75 34 63,Tous les ans,2019-12-01
Ecole élémentaire Jean Moulin,20 boulevard Mounié 34000 Montpellier,3.89150298321939,43.6187145693709,+33 4 67 72 68 17,Tous les ans,2019-12-01
Piscine PITOT,230 place Jacques Mirouze 34000 Montpellier,3.87042726007263,43.6124525152634,+33 4 67 52 58 89,,
Piscine A. NAKACHE,237 route de Vauguières Montpellier,3.90629920870056,43.6064088333911,+33 4 67 22 57 05,,
Piscine J. TARIS,67 rue L.Michel Montpellier,3.90104521170055,43.6205269603349,+33 4 67 79 03 11,,
Piscine J. VIVES,1933 avenue de Maurin Montpellier,3.8725825201908,43.5878357209346,+33 4 67 27 74 79,,
Piscine S. BERLIOUX,551 rue Métairie de Saysset Montpellier,3.89523251192244,43.590433374266,+33 4 67 65 38 71,,
Ecole maternelle Geneviève-Bon - Ecole élémentaire Louis Armstrong,971 rue Paul-Rimbaud 34080 Montpellier,3.83898290012738,43.6174980846812,+33 4 67 75 02 34,Tous les ans,2019-12-01
Ecole maternelle Indira-Gandhi,380 rue Pierre-Cardenal 34080 Montpellier,3.81976504102354,43.6399339318858,+33 4 67 75 35 45,Tous les ans,2019-12-01
Ecole élémentaire Blaise Pascal - Ecole maternelle Sarah-Bernhardt,100 rue Louis Lépine 34000 Montpellier,3.90770092827438,43.6121879360203,+33 4 67 22 11 72,Tous les ans,2019-12-01
Ecole maternelle James-Joyce,122 rue de Bologne 34080 Montpellier,3.81791314285696,43.6281074894343,+33 4 67 75 34 87,Tous les ans,2019-12-01
Ecole élémentaire Léopold Sedar Senghor,26 rue de Bologne 34080 Montpellier,3.81791532192905,43.6275077620567,+33 4 67 75 34 79,Tous les ans,2019-12-01
Ecole maternelle Robert-Surcouf -Ecole élémentaire Georges Simenon,215 boulevard Pédro-De-Luna 34070 Montpellier,3.8714435810918,43.5952872148722,+33 4 67 42 45 23,Tous les ans,2019-12-01
Ecole maternelle Jules-Michelet - Ecole élémentaire Joseph Delteil,Rue des Araucarias 34080 Montpellier,3.83873856808814,43.6156815982488,+33 4 67 10 06 05,Tous les ans,2019-12-01
Ecole maternelle Mozart,60 avenue D'Assas 34000 Montpellier,3.86164748235704,43.6169568463152,+33 4 67 63 15 61,Tous les ans,2019-12-01
Piscine centre nautique neptune,Montpellier,3.81486877448227,43.6203748790079,,,
Piscine Olympique Antigone,Montpellier,3.89308121814824,43.6074454556324,,,
Ecole élémentaire Jules Ferry,88 rue Antoine-Laurent de Jussieu 34090 Montpellier,3.87456248737726,43.6361784369411,+33 4 67 54 41 71,Tous les ans,2019-12-01
Ecole primaire Olympe-de-Gouges,1375 rue de Bugarel 34070 Montpellier,3.84625931433135,43.5909248113857,+33 4 67 99 18 21,Tous les ans,2019-12-01
Ecole élémentaire Julie Daubie,183 allée de L'Aqueduc 34080 Montpellier,3.84232778339953,43.6195753592669,+33 4 67 63 01 26,Tous les ans,2019-12-01
Ecole maternelle Paul-Eluard - Ecole élémentaire Jean Macé,219-289 rue de Saint Hilaire 34000 Montpellier,3.89640622981796,43.5929214621688,+33 4 67 64 40 54,Tous les ans,2019-12-01
Multi accueil La Coupole,45 place Zeus 34000 Montpellier,3.8909115988768,43.6078271911951,+33 4 67 64 06 62,Tous les ans,2019-12-01
Ecole élémentaire Léo Malet,5 allée Pierre Carabasse 34000 Montpellier,3.8316349046765,43.6128240251644,+33 4 67 75 46 45,Tous les ans,2019-12-01
Salle Polyvalente Espace Jacques 1er d'Aragon,117 rue des états Généraux 34000 Montpellier,3.89812267566427,43.6044300520134,+33 4 67 83 71 86,Tous les ans,2019-12-01
Zoo de Lunaret,50 avenue Agropolis 34090 Montpellier,3.87388024883192,43.6395873179815,+33 4 67 54 45 20,Tous les ans,2019-05-14
Service surveillance voie publique (ASVP),8 avenue Louis Blanc 34000 Montpellier,3.87964813129678,43.6144971002654,+33 4 99 58 80 34,Tous les ans,2019-11-07
Hotel de Ville Central park,1 place Georges Frêche 34000 Montpellier,3.89553805176529,43.5993615952129,+33 4 67 34 70 00,Tous les ans,2019-05-15
Poste de police Ecusson Centre ville,19 bis rue Durand 34000 Montpellier,3.87860752258093,43.6050174875771,+33 4 67 34 70 89,Tous les ans,2019-04-16
Unité Service Fourrière,1945 avenue de Toulouse 34070 Montpellier,3.85396085248997,43.587382545976,+33 4 34 46 68 58,Tous les ans,2019-11-07
Poste de police Hotel de ville,789 chemin de Moulares 34000 Montpellier,3.89399058643915,43.5988579814707,+33 4 67 34 88 30,Tous les ans,2019-10-07
Palais des sports Pierre-de-Coubertin,25 Rue de Gènes 34080 Montpellier,3.81388667740295,43.638296406947,+33 4 67 03 02 24,Tous les ans,2019-11-07
Gymnase François Spinosi,Rue Pierre Gilles de Gennes 34000 Montpellier,3.91771559166406,43.5989740313524,+33 4 67 15 90 35,Tous les ans,2018-12-06
Hotel de Ville Niveau moins 1 Etat Major COC,1 place Georges Frêche 34000 Montpellier,3.89683159240325,43.5983721693041,+33 4 67 34 59 25,Tous les ans,2019-05-15
STADE DE LA MOSSON,avenue de Heidelberg Montpellier,3.81316551139018,43.6218734259555,+33 4 67 75 74 16,,
Gymnase Albert Batteux,150 rue François-Joseph-Gossec 34000 Montpellier,3.85685693794324,43.5740760118369,+33 4 34 88 76 28,Tous les ans,2019-10-07
Gymnase Bernard-Jouanique,rue Jaques-Dalcroze 34080 Montpellier,3.8471372225702,43.6209658101339,+33 4 67 54 63 99,Tous les ans,2019-10-07
Stade Municipal Sabathé,18 rue Mas de Lemasson 34000 Montpellier,3.86890829584205,43.5980356410935,+33 4 67 47 10 22,Tous les ans,2019-09-10
Salle de Sports Alain Achille,1 place Marcel-Godechot 34000 Montpellier,3.86929205080085,43.6186499959297,+33 4 67 63 93 11,Tous les ans,2019-05-15
Gymnase Alain Le Hetet,237 route de Vauguières 34000 Montpellier,3.90603797982283,43.6056441965939,+33 4 67 82 76 71,Tous les ans,2019-09-10
"Maison pour tous   
Albert Dubout",1071 avenue de la Justice de Castelnau 34090 Montpellier,3.8825370479598,43.6263361536399,+33 4 67 02 68 58,Tous les ans,2019-01-10
"Maison pour tous 
Albert Camus",118 allée Maurice-Bonafos 34070 Montpellier,3.86999150922111,43.5968636380875,+33 4 67 27 33 41,Tous les ans,2019-01-10
Mairie annexe de proximité Mosson,111 place de Tipasa Mas de la Paillade 34080 Montpellier,3.81644666304565,43.6280352311183,+33 4 67 34 71 73,Tous les ans,2019-09-10
"Maison pour tous 
François Villon",55 rue des Araucarias 34080 Montpellier,3.83948430685078,43.6153031160824,+33 4 67 45 04 57,Tous les ans,2019-01-10
Ecole  Ludwig-Van-Beethoven,280 rue du mas Nouguier 34070 Montpellier,3.85685043630665,43.5849431576184,+33 4 67 27 66 71,Tous les ans,2019-12-01
Halles Castellane,Rue de la Loge 34000 Montpellier,3.87698855151732,43.6100748932829,+33 4 67 34 70 00,Tous les ans,2019-12-01
Halles des quatre saisons,Avenue D'Heidelberg 34000 Montpellier,3.81718369697817,43.62737098555,+33 4 67 34 70 00,Tous les ans,2019-12-01
Les Halles Laissac,Place Alexandre Laissac 34000 Montpellier,3.87665572976354,43.6061966446183,+33 4 67 34 70 00,Tous les ans,2019-12-01
Salle Guillaume-de-Nogaret,rue Pitot 34000 Montpellier,3.87039545403024,43.6121743782168,+33 4 67 34 71 33,Tous les ans,2019-12-01
Maison pour tous Georges Brassens,Place Jacques-Brel 34080 Montpellier,3.81801006500697,43.6421717315658,+33 4 67 40 40 11,Tous les ans,2019-12-01
STADE Y. DU MANOIR,avenue de la Vannière Montpellier,3.85003952477294,43.5936066049919,+33 4 67 13 60 00,,
Zoo de Lunaret,50 avenue Agropolis 34090 Montpellier,3.87322582931372,43.6403947990802,+33 4 67 54 45 20,Tous les ans,2019-04-16
Zoo de Lunaret,50 avenue Agropolis 34090 Montpellier,3.87324728568983,43.6403423899249,+33 4 67 54 45 20,Tous les ans,
DAE EXTERIEUR COMEDIE - COMMISSARIAT POLICE,2 Allée Jules Milhau 34000 Montpellier,3.88166695350884,43.6095475084495,+33 4 67 34 70 26,Tous les ans,2019-04-09
Maison pour tous L'Escoutaïre,67 rue des Razeteurs 34070 Montpellier,3.88435184442179,43.5954502975362,+33 4 67 65 32 70,Tous les ans,2019-11-15
Vestiaire/tribune CLAUDE BEAL,419 avenue du Dr Jacques Fourcade 34000 Montpellier,3.89668282061293,43.5911769531706,+33 4 67 65 70 86,Tous les ans,2019-11-01
Salle de sport Petit bard,1184 Rue Paul Rimbaud 34000,3.83642322163493,43.6171136119684,+33 4 67 45 21 89,Tous les ans,2019-11-01
Gymnase François Rabelais,Avenue de Malbosc 34000 Montpellier,3.83249755768483,43.6262609664851,+33 4 99 63 46 29,Tous les ans,2019-11-01
Gymnase Marcel Cerdan,260 rue du Pas-Du-Loup 34070 Montpellier,3.84723629666258,43.5995531419481,+33 4 67 42 68 16,Tous les ans,2019-11-01
Gymnase Roger Couderc,Avenue Villeneuve D'Angoulème 34070 Montpellier,3.86958483277162,43.5972023004916,+33 4 67 42 61 77,Tous les ans,2019-11-01
Gymnase Les Arts,Rue de Substantion 34000 Montpellier,3.88251807333355,43.6180224805144,+33 4 67 79 76 77,Tous les ans,2019-11-01
Gymnase Les Garrigues,avenue du Comté-De-Nice 34080 Montpellier,3.81542066540721,43.6422140271842,+33 4 67 61 94 85,Tous les ans,2019-11-01
Gymnase Bessière,175 rue Edouard-Villalonga 34000 Montpellier,3.90819879603806,43.6121384500637,+33 4 67 81 45 95,Tous les ans,2019-11-01
Gymnase Arthur Rimbaud,Rue Mohamed V 34080 Montpellier,3.82311817059698,43.616812102488,+33 4 67 52 30 80,Tous les ans,2019-11-01
Maison Pour Tous Jean-Pierre Caillens,Place de Tibériade 34070 Montpellier,3.87701683401441,43.5810091230333,+33 4 67 42 63 04,Tous les ans,2019-11-01
Maison pour tous Rosa-Lee Parks,10 rue François-Henri D'Harcourt 34080 Montpellier,3.83366483448939,43.6338355023598,+33 4 67 66 34 99,Tous les ans,2019-11-01
MUSEE FABRE,13 rue Montpelliéret Montpellier,3.88015207315543,43.6117202906494,+33 4 67 14 83 00,,
Maison pour tous Voltaire,3 Square Jean Monnet 34070 Montpellier,3.88872580812943,43.6040683970361,+33 4 99 52 68 45,Tous les ans,2019-11-01
Maison pour tous Frédéric Chopin,1 rue du Marché aux Bestiaux 34000 Montpellier,3.88400486812068,43.6162308803064,+33 4 34 46 67 87,Tous les ans,2019-11-01
Maison pour tous Paul-Emile-Victor,1247 avenue du Professeur Louis Ravas 34080 Montpellier,3.84255912284741,43.6244248427081,+33 4 99 58 13 58,Tous les ans,2019-11-01
Maison pour tous Marcel Pagnol,64 route de Lavérune 34070 Montpellier,3.85053159022006,43.6014566179891,+33 4 67 42 98 51,Tous les ans,2019-11-01
Maison pour tous Joseph Ricôme - Théàtre G.Philippe,7 rue Pagès 34070 Montpellier,3.86626314548635,43.6083935346071,+33 4 67 58 71 96,Tous les ans,2019-11-01
Maison pour tous Michel Colucci,205 rue de Cheng Du 34070 Montpellier,3.84033498625857,43.5936880350957,+33 4 67 42 52 85,Tous les ans,2019-11-01
Ecole maternelle François-Mitterrand,1330 rue Henri Lagattu 34080 Montpellier,3.83185886973498,43.6301415539281,+33 4 99 74 72 80,Tous les ans,2019-12-01
Ecole élementaire Chengdu,74 rue Ray Charles 34000 Montpellier,3.9041728175217,43.5990169701507,+33 4 67 22 64 20,Tous les ans,2019-12-01
Ecole élémentaire Painleve et maternelle Louise-Michel,501 avenue de la Pompignane 34000 Montpellier,3.89820129835213,43.6103086585132,+33 4 67 65 73 72,Tous les ans,2019-12-01
